,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-13,25.16,19.02,36.31,33.05,116.92,44.93,35.91,23.67,17.49,40.45,21.53,35.81,123.3,26.0,26.4,46.23,10.54,25.84,11.3,78.94,17.29,31.9,19.59,47.44,13.15,22.04,92.21,58.32,18.19,22.55,28.11,37.33,29.31,31.94,10.84,23.51,18.24,23.07,15.58,19.78,17.28,4.1,9.17,78.27,41.34,62.18,34.36,28.43,38.93,32.05,10.11,5.39,4.85,14.42,60.74,30.92,48.64,16.85,35.48,16.86
2009-04-14,24.85,17.13,36.27,32.95,115.06,44.12,35.31,23.8,17.28,40.44,21.69,35.5,109.05,25.46,26.16,45.87,10.0,25.4,11.18,77.22,16.98,31.57,19.37,47.08,12.7,21.4,91.58,57.12,16.9,22.41,27.71,36.34,28.9,30.95,9.93,25.16,18.13,22.52,15.72,19.74,17.22,4.14,8.68,75.43,40.66,61.44,34.38,27.28,38.86,31.68,10.13,5.32,4.88,14.07,60.46,28.17,47.52,16.88,35.44,16.26
2009-04-15,24.93,19.16,36.43,33.43,114.41,45.41,35.28,24.38,16.81,41.14,21.92,35.97,114.81,25.79,26.28,46.02,10.28,25.0,11.62,74.71,16.7,31.58,19.73,47.78,13.17,21.71,91.19,57.22,18.08,23.04,27.49,36.22,29.19,30.99,10.27,26.49,18.4,22.82,15.43,20.14,17.5,3.89,8.74,76.68,41.95,62.64,34.9,27.9,39.19,32.35,9.87,5.36,4.95,14.02,60.85,29.87,46.76,16.54,35.95,16.72
2009-04-16,24.99,19.23,37.35,34.16,118.12,45.34,36.21,24.38,17.64,41.69,22.37,36.03,114.81,26.32,27.51,45.56,10.66,25.19,11.65,77.25,17.29,31.8,19.76,48.7,13.52,21.95,93.57,56.56,17.99,23.83,28.62,35.91,29.29,30.87,10.17,27.98,19.64,23.08,16.15,19.95,18.05,4.0,9.0,76.26,43.4,65.37,35.24,27.83,40.28,33.98,10.52,5.19,5.23,14.43,60.2,30.5,47.41,17.03,37.2,16.55
2009-04-17,25.23,20.27,36.69,34.09,120.03,45.49,37.49,24.19,17.14,42.07,22.61,35.38,114.25,27.03,27.17,45.04,10.77,26.37,11.87,78.05,17.59,31.14,19.72,47.85,13.26,21.86,93.43,56.63,18.74,23.9,28.33,35.62,28.91,30.93,10.43,26.82,19.22,23.2,16.3,19.97,18.2,3.85,9.24,76.71,44.46,64.83,35.12,28.5,41.18,33.7,10.7,5.22,5.38,14.39,59.61,30.51,48.62,16.94,37.69,16.24
2009-04-20,23.83,17.64,35.58,32.46,117.19,43.5,34.7,23.77,16.62,41.8,21.29,34.41,108.95,26.88,27.24,44.21,9.86,25.7,11.39,77.57,16.49,30.4,19.42,46.22,12.76,21.81,92.65,54.8,15.72,22.49,27.45,34.11,27.29,30.2,7.89,21.36,18.21,22.35,15.71,19.79,16.82,3.55,8.4,75.37,43.66,63.82,34.68,28.0,40.13,32.2,9.97,4.79,4.88,13.66,58.31,27.24,47.96,16.3,37.05,15.8
2009-04-21,24.31,18.19,35.46,32.61,118.42,43.06,34.71,24.45,16.94,41.83,21.71,35.14,114.02,26.93,27.71,44.71,10.17,26.23,11.33,78.74,16.86,30.37,18.88,47.39,13.07,21.9,94.39,55.66,17.4,23.6,28.47,35.08,28.1,30.32,8.62,24.17,18.39,22.99,15.52,20.04,17.07,3.65,8.61,76.04,44.21,64.08,35.05,28.14,41.11,32.89,10.21,5.08,5.06,14.38,59.14,29.85,48.22,16.66,37.75,16.07
2009-04-22,23.9,18.06,35.64,33.19,118.17,41.86,34.67,23.17,16.77,41.69,22.92,35.46,114.14,26.52,27.03,43.93,10.25,25.53,10.93,79.2,17.49,30.2,18.81,47.18,12.87,21.85,94.61,54.69,16.81,23.33,28.54,34.7,29.05,30.19,8.13,23.67,18.48,23.26,16.01,19.77,17.17,4.12,8.66,77.85,43.05,63.07,34.46,28.34,42.66,32.2,10.28,4.85,5.16,14.48,57.82,29.27,47.02,16.42,37.67,15.66
2009-04-23,25.08,19.49,38.01,33.75,121.96,41.79,34.53,23.02,16.89,41.34,22.99,36.92,116.34,26.4,26.56,43.84,10.32,25.88,11.13,80.61,19.64,31.36,18.8,48.21,12.47,22.14,93.56,56.22,18.58,23.09,27.87,36.6,29.05,30.74,8.68,24.83,18.0,22.9,15.73,19.62,17.84,4.32,8.51,79.55,42.81,65.19,34.25,28.2,43.79,32.27,10.37,4.91,5.22,14.55,58.68,30.47,47.93,16.59,38.53,16.11
2009-04-24,25.88,23.51,37.82,34.45,120.5,42.34,34.14,23.21,18.67,41.29,24.04,38.14,114.91,26.49,26.78,42.95,10.52,26.61,11.04,84.46,19.91,31.42,18.74,50.69,12.72,22.35,92.33,57.14,19.79,24.2,28.02,38.34,30.11,30.65,8.95,24.17,18.48,23.38,16.22,19.61,18.16,4.81,8.63,80.47,42.97,64.95,34.1,28.31,43.5,33.24,10.69,5.25,5.41,14.73,59.45,30.62,47.08,17.35,38.52,16.21
